Title,Year,Duration,Country,Genre,Director,Roles,Rating,Count
Чужие,1986,2 ч 17 мин,Великобритания,ужасы,Джеймс Кэмерон,"Сигурни Уивер, Майкл Бин",8.1. топ 250,270 948
Книга Илая,2009,1 ч 57 мин,США,фантастика,Альберт Хьюз,"Дензел Вашингтон, Гари Олдман",7.2,416 084
Море соблазна,2019,1 ч 46 мин,США,триллер,Стивен Найт,"Мэттью Макконахи, Энн Хэтэуэй",6.4,112 175
"Судзумэ, закрывающая двери",2022,2 ч 1 мин,Япония,аниме,Макото Синкай,"Нанока Хара, Хокуто Мацумура",7.7,31 210
Василий,2024,1 ч 18 мин,Россия,комедия,Дмитрий Литвиненко,"Александр Петров, Дмитрий Лысенков",N/A,N/A
Особенности национальной больницы,2024,N/A,Россия,драма,Станислав Светлов,"Карл Филлип Бенцшавель, Виктория Исакова",5.5,1 060
Храброе сердце,1995,2 ч 58 мин,США,история,Мэл Гибсон,"Мэл Гибсон, Софи Марсо",8.3,325 830
Иван Царевич и Серый Волк,2011,1 ч 26 мин,Россия,мультфильм,Владимир Торопчин,"Никита Ефремов, Татьяна Бунина",6.7,237 792
Лучшие хиты,2011,N/A,США,фантастика,Нед Бенсон,"Люси Бойнтон, Джастин Х. Мин",6.6,918
Соник 2 в кино,2024,1 ч 34 мин,США,фантастика,Джефф Фаулер,"Джеймс Марсден, Джим Керри",6.4,54 740
Пассажиры,2022,2 ч 2 мин,США,фантастика,Мортен Тильдум,"Крис Пратт, Дженнифер Лоуренс",7.2,452 658
Её заветное желание,2016,1 ч 56 мин,Япония,аниме,Котаро Тамура,"Кая Киёхара, Таиси Накагава",8.2,105 379
Затерянное место,2020,1 ч 39 мин,США,ужасы,Александр Ажа,"Холли Берри, Перси Даггс IV",5.6,3 474
Голодные игры: И вспыхнет пламя,2024,1 ч 41 мин,США,фантастика,Фрэнсис Лоуренс,"Дженнифер Лоуренс, Джош Хатчерсон",7.5,384 995
Нелюбовь,2013,2 ч 26 мин,Россия,драма,Андрей Звягинцев,"Марьяна Спивак, Алексей Розин",7.4,136 255
Аритмия,2017,2 ч 7 мин,Россия,мелодрама,Борис Хлебников,"Александр Яценко, Ирина Горбачёва",7.7,172 899
Враг у ворот,2017,N/A,США,боевик,Жан-Жак Анно,"Джуд Лоу, Рэйчел Вайс",7.0,57 370
Беовульф,2017,1 ч 56 мин,США,мультфильм,Роберт Земекис,"Рэй Уинстон, Энтони Хопкинс",6.2,55 362
День курка,2017,N/A,США,фантастика,Джо Карнахан,"Фрэнк Грилло, Мэл Гибсон",7.2,453 483
Красное уведомление,2001,2 ч 11 мин,США,боевик,Роусон Маршалл Тёрбер,"Дуэйн Джонсон, Райан Рейнольдс",6.5,177 535
Восхитительно!,2007,1 ч 53 мин,Франция,драма,Эрик Беснард,"Грегори Гадебуа, Изабель Карре",7.7,132 648
Любовь,2019,1 ч 40 мин,Франция,драма,Гаспар Ноэ,"Карл Глусман, Аоми Муйок",6.4,76 160
Атлас,2021,1 ч 58 мин,США,фантастика,Брэд Пейтон,"Дженнифер Лопес, Симу Лю",6.0,18 226
"Рождество, опять",2021,1 ч 52 мин,США,драма,Чарльз Покел,"Кентакер Одли, Ханна Гросс",6.7,10 373
Обратная связь,2015,2 ч 15 мин,Россия,комедия,Алексей Нужный,"Леонид Барац, Ирина Горбачёва",7.2,145 209
Она – мужчина,2024,1 ч 58 мин,США,мелодрама,Энди Фикмен,"Аманда Байнс, Ченнинг Татум",6.9,175 367
Три метра над уровнем неба,2014,1 ч 20 мин,Испания,драма,Фернандо Гонзалез Молина,"Марио Касас, Мария Вальверде",7.1,251 465
Обитель проклятых,2020,1 ч 37 мин,США,триллер,Брэд Андерсон,"Кейт Бекинсейл, Джим Стёрджесс",7.3,252 350
Гром: Трудное детство,2020,N/A,Россия,приключения,Олег Трофим,"Кай Гетц, Сергей Марин",7.1,299 694
Богемская рапсодия,2005,1 ч 45 мин,Великобритания,биография,Брайан Сингер,"Рами Малек, Люси Бойнтон",8.0,502 816
Маска,2010,2 ч 3 мин,США,комедия,Чак Рассел,"Джим Керри, Кэмерон Диас",8.0,564 415
Полночь в Париже,2014,1 ч 52 мин,США,фэнтези,Вуди Аллен,"Оуэн Уилсон, Марион Котийяр",7.8,226 652
Демон внутри,2023,1 ч 24 мин,Великобритания,ужасы,Андре Эвредал,"Брайан Кокс, Эмиль Хирш",6.5,121 055
Новогодние приключения Маши и Вити,2023,N/A,СССР,фэнтези,Геннадий Казанский,"Ирина Борисова, Михаил Боярский",7.9,81 333
Закатать в асфальт,2018,2 ч 14 мин,Канада,боевик,С. Крэйг Залер,"Мэл Гибсон, Винс Вон",7.0,76 090
Враг,1994,1 ч 41 мин,Канада,триллер,Дени Вильнёв,"Джейк Джилленхол, Мелани Лоран",6.6,112 873
Прошлые жизни,2011,1 ч 34 мин,США,мелодрама,Селин Сон,"Грета Ли, Тео Ю",7.4,59 904
Стальная хватка,2016,1 ч 26 мин,Великобритания,биография,Шон Дуркин,"Зак Эфрон, Джереми Аллен Уайт",7.4,137 966
2001 год: Космическая одиссея,1975,1 ч 11 мин,Великобритания,фантастика,Стэнли Кубрик,"Кир Дуллеа, Гэри Локвуд",7.9,117 819
Шоу субботним вечером,1975,N/A,США,биография,Джейсон Райтман,"Гэбриел ЛаБелль, Рэйчел Сеннотт",6.9,984
Ученик чудовища,2018,2 ч 38 мин,Япония,аниме,Мамору Хосода,"Сёта Сомэтани, Кодзи Якусё",8.2. топ 250,190 266
Пэрл,2013,1 ч 28 мин,США,ужасы,Тай Уэст,"Миа Гот, Дэвид Коренсвет",6.7,36 943
Варкрафт,2023,1 ч 45 мин,США,фэнтези,Дункан Джонс,"Трэвис Фиммел, Пола Пэттон",7.6,411 331
Три кота. Новогодняя мелодия,2023,2 ч 12 мин,Россия,мультфильм,Дмитрий Высоцкий,"Максим Сергеев, Илья Хрусталёв",8.7,68 605
Сербский фильм,1968,2 ч 29 мин,Сербия,ужасы,Срджан Спасоевич,"Срджан Тодорович, Сергей Трифунович",5.1,48 318
Александр,2024,1 ч 49 мин,США,боевик,Оливер Стоун,"Колин Фаррелл, Анджелина Джоли",7.2,249 202
Тайна в её глазах,2015,1 ч 59 мин,Великобритания,триллер,Сэм Йэтс,"Дейзи Ридли, Шазад Латиф",6.2,1 036
Треугольник,2022,1 ч 43 мин,Великобритания,фантастика,Кристофер Смит,"Мелисса Джордж, Лиам Хемсворт",6.8,125 849
Секс в большом городе,2016,2 ч 3 мин,США,драма,Майкл Патрик Кинг,"Сара Джессика Паркер, Ким Кэтролл",6.9,98 254
