Title,Year,Duration,Country,Genre,Director,Roles,Rating,Count
Реальная любовь,,1 ч 49 мин,Великобритания,мелодрама,Ричард Кёртис,"Хью Грант, Билл Найи",7.9. топ 250,352 196
Носферату,,N/A,США,ужасы,Роберт Эггерс,"Эмма Коррин, Аарон Тейлор-Джонсон",N/A,N/A
Гладиатор,2024,1 ч 47 мин,США,история,Ридли Скотт,"Рассел Кроу, Хоакин Феникс",8.6. топ 250,709 365
1+1,2023,1 ч 28 мин,Франция,драма,Оливье Накаш,"Франсуа Клюзе, Омар Си",8.8. топ 250,2 349K
Моана,2023,N/A,США,мультфильм,Рон Клементс,"Аулии Кравальо, Дуэйн Джонсон",7.8,478 698
Пчеловод,2024,1 ч 45 мин,Великобритания,боевик,Дэвид Эйр,"Джейсон Стэйтем, Эмми Рейвер-Лэмпман",7.2,690 830
Бруталист,2024,3 ч 35 мин,США,драма,Брэйди Корбет,"Эдриан Броуди, Фелисити Джонс",N/A,N/A
Гринч,2018,1 ч 25 мин,Франция,мультфильм,Ярроу Чейни,"Бенедикт Камбербэтч, Кэмерон Сили",7.6,359 186
Властелин колец: Война рохирримов,2024,2 ч 14 мин,США,аниме,Кэндзи Камияма,"Гайа Уайз, Брайан Кокс",N/A,N/A
Отпуск по обмену,2006,2 ч 16 мин,США,мелодрама,Нэнси Майерс,"Кэмерон Диас, Кейт Уинслет",7.9. топ 250,519 297
SHEKER. Последний шанс,2024,N/A,Казахстан,драма,Дархан Тулегенов,"Азат Жумадил, Ансар Ильясов",6.4,2 973
Начало,2010,2 ч 28 мин,США,фантастика,Кристофер Нолан,"Леонардо ДиКаприо, Джозеф Гордон-Левитт",8.7. топ 250,1 013K
Дюна: Часть вторая,2024,2 ч 46 мин,США,фантастика,Дени Вильнёв,"Тимоти Шаламе, Зендея",8.2. топ 250,173 229
"Поймай меня, если сможешь",2002,2 ч 21 мин,США,криминал,Стивен Спилберг,"Леонардо ДиКаприо, Том Хэнкс",8.5. топ 250,781 903
Гран туризмо,2023,2 ч 14 мин,Япония,боевик,Нил Бломкамп,"Арчи Мадекве, Орландо Блум",7.6,81 006
Рай под ногами матерей,2024,2 ч 17 мин,Кыргызстан,драма,Руслан Акун,"Эмиль Эсеналиев, Анаркуль Назаркулова",8.6,214 567
Другой мир: Год волка,2024,1 ч 33 мин,США,ужасы,Стивен С. Миллер,"Фрэнк Грилло, Катрина Ло",5.0,1 244
Безмолвное братство,2024,1 ч 56 мин,США,триллер,Джастин Курзель,"Джуд Лоу, Николас Холт",6.8,631
Одна жизнь,2023,1 ч 49 мин,Великобритания,драма,Джеймс Хоуз,"Энтони Хопкинс, Хелена Бонем Картер",8.5. топ 250,186 485
Битлджус Битлджус,2024,1 ч 45 мин,США,фэнтези,Тим Бёртон,"Майкл Китон, Вайнона Райдер",7.0,57 924
Территория девственниц,2007,1 ч 37 мин,Италия,мелодрама,Дэвид Лиленд,"Хейден Кристенсен, Миша Бартон",5.4,20 730
Черный замок,1 ч 55 мин,N/A,Россия,история,Кирилл Кузин,"Евгений Шварц, Линда Лапиньш",N/A,N/A
Властелин колец: Братство кольца,2001,2 ч 58 мин,Новая Зеландия,фэнтези,Питер Джексон,"Элайджа Вуд, Иэн Маккеллен",8.6. топ 250,685 052
Любовь зла,2024,1 ч 23 мин,Россия,комедия,Денис Гуляр,"Никита Кологривый, Катерина Ковальчук",7.1,126 318
Приключения Паддингтона,2024,N/A,Великобритания,комедия,Пол Кинг,"Бен Уишоу, Николь Кидман",7.3,290 177
Дэдпул и Росомаха,2014,1 ч 35 мин,США,фантастика,Шон Леви,"Райан Рейнольдс, Хью Джекман",7.4,170 052
Улыбка 2,2024,2 ч 8 мин,США,ужасы,Паркер Финн,"Наоми Скотт, Дилан Гелула",6.5,16 251
Мастер и Маргарита,2024,2 ч 7 мин,Россия,драма,Михаил Локшин,"Аугуст Диль, Юлия Снигирь",7.7,254 794
Ужасающий 3,2023,2 ч 37 мин,США,ужасы,Дэмиен Леоне,"Лорен ЛаВера, Дэвид Ховард Торнтон",6.2,39 794
Маме снова 17,2023,N/A,Россия,комедия,Анна Курбатова,"Светлана Ходченкова, Константин Крюков",7.5,278 773
Достать ножи,2024,2 ч 5 мин,США,детектив,Райан Джонсон,"Дэниэл Крэйг, Ана де Армас",8.1. топ 250,1 206K
Веном,2024,1 ч 48 мин,США,фантастика,Рубен Фляйшер,"Том Харди, Мишель Уильямс",6.9,932 090
Чужой: Ромул,2024,N/A,Великобритания,ужасы,Феде Альварес,"Кейли Спейни, Дэвид Джонссон",7.0,82 705
Остров проклятых,2019,2 ч 10 мин,США,триллер,Мартин Скорсезе,"Леонардо ДиКаприо, Марк Руффало",8.5. топ 250,1 120K
Зеленая книга,2018,1 ч 52 мин,США,биография,Питер Фаррелли,"Вигго Мортенсен, Махершала Али",8.5. топ 250,1 219K
Одержимость,2024,1 ч 59 мин,США,драма,Дэмьен Шазелл,"Майлз Теллер, Дж.К. Симмонс",8.4. топ 250,539 116
Гринч – похититель Рождества,2009,2 ч 18 мин,США,фэнтези,Рон Ховард,"Джим Керри, Тейлор Момсен",6.8,193 629
Мой папа — тигр,2018,2 ч 10 мин,Казахстан,комедия,Ернар Нургалиев,"Жанболат Найзабеков, Зарина Кармен",7.4,23 637
Бойцовский клуб,2013,1 ч 46 мин,США,триллер,Дэвид Финчер,"Эдвард Нортон, Брэд Питт",8.7. топ 250,1 095K
Не говори никому,2000,1 ч 44 мин,США,триллер,Джеймс Уоткинс,"Джеймс Макэвой, Маккензи Дэвис",6.6,32 507
Бегущий по лезвию 2049,,2024,США,фантастика,Дени Вильнёв,"Райан Гослинг, Харрисон Форд",7.8. топ 250,461 501
Игра в имитацию,,N/A,Великобритания,биография,Мортен Тильдум,"Бенедикт Камбербэтч, Кира Найтли",7.7. топ 250,407 275
Оппенгеймер,1999,2 ч 19 мин,США,биография,Кристофер Нолан,"Киллиан Мерфи, Эмили Блант",8.1. топ 250,269 138
Месть земли,2024,1 ч 50 мин,Китай,боевик,Ли Цзунь,"Чжу Илун, Хуан Чжичжун",5.7,9 015
Маша и Медведь в кино: Парк чудес,2017,2 ч 44 мин,Россия,мультфильм,Василий Бедошвили,"Юлия Зуникова, Валерия Шевченко",N/A,N/A
Бар «МоскваЧики»,2014,1 ч 54 мин,Россия,комедия,Анарио Мамедов,"Яна Кошкина, Марк Богатырев",6.4,261 097
Плохая девочка,2023,3 ч,Нидерланды,триллер,Халина Рейн,"Николь Кидман, Харрис Дикинсон",N/A,N/A
Веном 2,2021,1 ч 54 мин,США,фантастика,Энди Серкис,"Том Харди, Вуди Харрельсон",6.2,475 500
Царство небесное,2024,58 мин,США,боевик,Ридли Скотт,"Орландо Блум, Ева Грин",7.6,198 508
Отступники,2024,N/A,США,криминал,Мартин Скорсезе,"Леонардо ДиКаприо, Мэтт Дэймон",8.5. топ 250,488 264
Ручная кладь,2024,1 ч 34 мин,США,боевик,Жауме Кольет-Серра,"Тэрон Эджертон, Джейсон Бейтман",N/A,N/A
Ловушка,2024,N/A,США,триллер,М. Найт Шьямалан,"Джош Хартнетт, Ариэль Джой Донохью",6.4,47 078
Руки Вверх!,,1 ч 54 мин,Россия,музыка,Аскар Узабаев,"Влад Прохоров, Илья Русь",N/A,N/A
Эмилия Перес,,N/A,Франция,мюзикл,Жак Одиар,"Зои Салдана, Карла Гаскон",6.8,2 058
Джокер: Безумие на двоих,2021,1 ч 36 мин,США,драма,Тодд Филлипс,"Хоакин Феникс, Леди Гага",5.8,55 183
Другие,2001,1 ч 41 мин,Испания,ужасы,Алехандро Аменабар,"Николь Кидман, Финола Флэнаган",7.9. топ 250,285 989
Сайлент Хилл,2006,2 ч 5 мин,Канада,ужасы,Кристоф Ган,"Рада Митчелл, Джоделль Ферланд",7.2,223 996
Микки 17,,2 ч 19 мин,США,фантастика,Пон Джун-хо,"Роберт Паттинсон, Марк Руффало",N/A,N/A
Горизонты: Часть 1,,N/A,США,вестерн,Кевин Костнер,"Кевин Костнер, Сиенна Миллер",7.2,65 447
Стажёр,2024,3 ч 1 мин,США,мелодрама,Нэнси Майерс,"Роберт Де Ниро, Энн Хэтэуэй",7.6,393 273
Солнцестояние,2015,2 ч 1 мин,США,ужасы,Ари Астер,"Флоренс Пью, Джек Рейнор",6.4,361 511
Операция «Ы» и другие приключения Шурика,2019,2 ч 28 мин,СССР,комедия,Леонид Гайдай,"Александр Демьяненко, Наталья Селезнёва",8.7. топ 250,1 029K
Банши Инишерина,1965,1 ч 35 мин,Великобритания,драма,Мартин Макдона,"Колин Фаррелл, Брендан Глисон",7.5,78 559
Максин XXX,1965,N/A,США,триллер,Тай Уэст,"Миа Гот, Элизабет Дебики",6.0,62 200
Иван Васильевич меняет всё,2022,1 ч 54 мин,Россия,комедия,Миша Семичев,"Тимур Батрутдинов, Демис Карибидис",6.5,565 281
Идиократия,2024,1 ч 43 мин,США,фантастика,Майк Джадж,"Люк Уилсон, Майя Рудольф",6.6,100 844
